,Leader,Leader Unison,Main 2,Unison 2,Main 3,Unison 3,L Weapon,L Soul,2 Weapon,2 Soul,3 Weapon,3 Soul,L4,L5,L6,LU4,LU5,LU6,24,25,26,2U4,2U5,2U6,34,35,36,3U4,3U5,3U6,URL,Date
1968,Rolf,WKlaus,Marina,XBianca,Quade,XTrine,Stitch the Bear,Predator,Whip of Polis,Gauntlet of the Ancient King,Gauntlet of the Ancient King,Gauntlet of the Ancient King,6,6,0,1,1,1,6,6,6,6,6,6,6,6,0,1,1,1,"https://eliya-bot.herokuapp.com/comp/black_wolf_knight-wolf_assassin_wt21-pirates_girl-lady_summoner_xm20-magical_bayonetter-cool_woman_soldier_xm20-axe_0035_boss_unique-bow_0016-sword_0045_score-fist_0017_boss_unique-fist_0017_boss_unique-fist_0017_boss_unique@55-,000,555,555,55-,000.png",2021-05-03 20:30:00
1969,SBelsidia,Edita,Beaucy,Tor Leleni,Sera,Sha Suzu,Aegaeon's Axe,Aegaeon's Axe,Yata-no-Kagami,The Book of Lies,Electric Dagger,Philebus,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/dimension_witch_smr20-punk_warrior-heavenly_two-little_wizard-machine_police_girl-student_gunsmith-axe_0025_decay-axe_0025_decay-acce_0014_boss_unique-book_0005-sword_0027-book_0010@10-,---,3--,---,---,---.png",2021-05-03 15:20:00
1970,Tink,Edita,Sera,Sha Suzu,Beaucy,HRenoir,Aegaeon's Axe,Mosnian Baton,Ancestral Claw,Ancestral Claw,Yata-no-Kagami,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/general_toyakiren-punk_warrior-machine_police_girl-student_gunsmith-heavenly_two-fox_scientist_hw20-axe_0025_decay-staff_0021_storyevent-fist_0019_boss_unique-fist_0019_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@---,---,---,555,5--,5--.png",2021-05-03 11:20:00
1971,Tink,Vyron,Sera,Rolf,Bulleta,XBianca,Maltet,Gun of Celestial Insight,Gun of Celestial Insight,Gun of Celestial Insight,Kaleido Drop Bracelet,Trick or Claw,0,0,0,6,6,6,6,6,6,1,1,1,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/general_toyakiren-veteran_hunter-machine_police_girl-black_wolf_knight-combat_soldier-lady_summoner_xm20-spear_0005-gun_0011_score-gun_0011_score-gun_0011_score-acce_0007_total-fist_0024_raid@---,555,555,000,555,---.png",2021-05-02 17:06:00
1972,SBelsidia,Mino,Beaucy,Sha Suzu,Sera,Renoir,Aegaeon's Axe,Whitetail's Axe,Yata-no-Kagami,The Book of Lies,Ancestral Claw,Philebus,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/dimension_witch_smr20-minotaur_girl-heavenly_two-student_gunsmith-machine_police_girl-fox_scientist-axe_0025_decay-axe_0017-acce_0014_boss_unique-book_0005-fist_0019_boss_unique-book_0010@55-,---,5--,---,---,---.png",2021-05-02 16:03:00
1973,Tink,Vyron,Sera,Rolf,Bulleta,XBianca,Maltet,Thor's Hammer,Ancestral Claw,Philebus,Ancestral Staff,Ignition Piece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/general_toyakiren-veteran_hunter-machine_police_girl-black_wolf_knight-combat_soldier-lady_summoner_xm20-spear_0005-axe_0009-fist_0019_boss_unique-book_0010-spear_0023_boss_unique-acce_0002@---,---,---,---,---,---.png",2021-05-02 15:07:00
1974,Kohane,Rudy,Aurore,Bulleta,Celtie,Hao,Death's Axe,Death's Axe,Death's Tomb,Death's Axe,Death's Sword,Death's Sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/tengu_girl-lady_android-birdman-combat_soldier-wind_spgirl-wild_boy-axe_0018_boss_unique-axe_0018_boss_unique-book_0016_boss_unique-axe_0018_boss_unique-sword_0022_boss_unique-sword_0022_boss_unique@---,---,---,---,---,---.png",2021-05-02 02:57:00
1975,Sohvi,Vyron,Kaiyu,Sha Suzu,Faf,Liesel,Claws of the Deep,Claws of the Deep,Spear of the Ancient King,Spear of Okeanos,Mythical Shield,Spear of Okeanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/psycho_reaper-veteran_hunter-depraved_monk-student_gunsmith-cute_fafnir-bishop_girl-fist_0020_boss_unique-fist_0020_boss_unique-spear_0020_boss_unique-spear_0011-shield_0012-spear_0011@---,---,---,---,---,---.png",2021-05-02 02:42:00
1976,Rams,Vyron,Fiora,Jester,Tor Leleni,Sha Suzu,Maltet,Whitetail's Axe,Ame-no-Habakiri,Spear of the Life Tree,Philebus,Spear of the Life Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/thunder_dragon-veteran_hunter-fortuneteller-trap_errand-little_wizard-student_gunsmith-spear_0005-axe_0017-sword_0004-spear_0016-book_0010-spear_0016@---,---,---,---,---,---.png",2021-05-02 02:14:00
1977,SBelsidia,Rams,Rudy,Tor Leleni,Renoir,Sha Suzu,Aegaeon's Axe,Aegaeon's Axe,Ancestral Staff,Ancestral Staff,Philebus,Ancestral Staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/dimension_witch_smr20-thunder_dragon-lady_android-little_wizard-fox_scientist-student_gunsmith-axe_0025_decay-axe_0025_decay-spear_0023_boss_unique-spear_0023_boss_unique-book_0010-spear_0023_boss_unique@---,---,---,---,---,---.png",2021-05-01 23:19:00
1978,ARegis,Sera,Beaucy,Junko,SIllumine,Sha Suzu,Ancestral Scepter,Stormhorse Bow,Ancestral Staff,Big Ogre's Axe,Big Ogre's Axe,Big Ogre's Axe,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-machine_police_girl-heavenly_two-konno_junko-illusionist_smr20-student_gunsmith-staff_0020_boss_unique-bow_0018_coop-spear_0023_boss_unique-axe_0022_storyevent-axe_0022_storyevent-axe_0022_storyevent@---,---,0--,00-,---,---.png",2021-05-01 19:23:00
1979,ARegis,SBelsidia,Beaucy,Sha Suzu,Rudy,Sera,Aegaeon's Axe,Aegaeon's Axe,Yata-no-Kagami,Big Ogre's Axe,Ancestral Staff,Philebus,1,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-dimension_witch_smr20-heavenly_two-student_gunsmith-lady_android-machine_police_girl-axe_0025_decay-axe_0025_decay-acce_0014_boss_unique-axe_0022_storyevent-spear_0023_boss_unique-book_0010@0--,05-,5--,---,---,---.png",2021-05-01 12:32:00
1980,Keira,Mech,Bulleta,Corinna,Hopper,Katyusha,Covenant Blade,Covenant Blade,Nostalgia,Nostalgia,Bonds Forged in Flame,Nostalgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/palpebra_knight_lady-doctor_machine-combat_soldier-priest-unleash_hunter-junior_soldier-sword_0031_storyevent-sword_0031_storyevent-shield_0020_boss_unique-shield_0020_boss_unique-main_chapter_orb_7-shield_0020_boss_unique@---,---,---,---,---,---.png",2021-05-01 05:03:00
1981,Olivia,Shion,Carla,Rebecca,Bryce,Adil,The Hand of Orcus,The Hand of Orcus,The Spear of Gluttony,The Spear of Gluttony,Ame-no-Habakiri,The Spear of Gluttony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/olivia-informant-cursed_girl-bearish_darkwitch-crazy_doctor-arabic_swordman-fist_0009-fist_0009-spear_0021_boss_unique-spear_0021_boss_unique-sword_0004-spear_0021_boss_unique@---,---,---,---,---,---.png",2021-05-01 04:59:00
1982,Luna,Love,Andy,Rebecca,Falsche,Vyron,24/7,The Book of Pride,The Book of Pride,The Book of Pride,The Fool's Bow,The Book of Pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/luna-touyakiren_ceo-undead_boy-bearish_darkwitch-reaper_girl-veteran_hunter-staff_rare5_24_7-book_0017_boss_unique-book_0017_boss_unique-book_0017_boss_unique-bow_0014-book_0017_boss_unique@---,---,---,---,---,---.png",2021-05-01 04:55:00
1983,Ellya,Keira,Lilith,Corinna,Keyana,Sha Suzu,Crossbow,Heimdall's Sword,Heimdall's Sword,Heimdall's Sword,Bonds Forged in Flame,Heimdall's Sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/lightbullet_wiz-palpebra_knight_lady-resistance_princess-priest-keylock_girl-student_gunsmith-bow_0006-sword_0011-sword_0011-sword_0011-main_chapter_orb_7-sword_0011@---,---,---,---,---,---.png",2021-05-01 04:48:00
1984,Marianne,Rebecca,Shion,Adil,Belsidia,Jalil,Prometheus Blade,The Scepter of Sloth,The Scepter of Sloth,The Scepter of Sloth,The Fool's Bow,The Scepter of Sloth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/battle_maid-bearish_darkwitch-informant-arabic_swordman-dimension_witch-chakram_shooter-sword_0012-staff_0019_boss_unique-staff_0019_boss_unique-staff_0019_boss_unique-bow_0014-staff_0019_boss_unique@---,---,---,---,---,---.png",2021-05-01 04:41:00
1985,Barrek,Mino,Sha Suzu,Jester,Sera,Rudy,Ancestral Scepter,Thor's Hammer,Ancestral Claw,Ancestral Claw,Aeolian Bow,Ancestral Claw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/mighty_striker-minotaur_girl-student_gunsmith-trap_errand-machine_police_girl-lady_android-staff_0020_boss_unique-axe_0009-fist_0019_boss_unique-fist_0019_boss_unique-bow_0009-fist_0019_boss_unique@---,---,---,---,---,---.png",2021-05-01 04:31:00
1986,Sohvi,Adil,Samantha,Liesel,Sharon,Mizuchi,Maltet,Spear of Okeanos,Eldtide Staff,Eldtide Staff,Shell of the Deep,Eldtide Staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/psycho_reaper-arabic_swordman-little_shaman-bishop_girl-battle_guild_staff-onmyo_attendant-spear_0005-spear_0011-staff_0015-staff_0015-shield_0018_boss_unique-staff_0015@---,---,---,---,---,---.png",2021-05-01 04:20:00
1987,Rolf,Jay,Melmyna,Shroombo,Jin,Bianca,Gauntlet of the Ancient King,Gauntlet of the Ancient King,Spear of the Ancient King,Spear of the Ancient King,The Spear of Gluttony,Spear of the Ancient King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/black_wolf_knight-cat_shaman-sanctuary_guard-kinoko-black_doctor-lady_summoner-fist_0017_boss_unique-fist_0017_boss_unique-spear_0020_boss_unique-spear_0020_boss_unique-spear_0021_boss_unique-spear_0020_boss_unique@---,---,---,---,---,---.png",2021-05-01 04:08:00
1988,blank,Vyron,Sha Suzu,Bulleta,Sera,Rolf,Maltet,Stormhorse Bow,Ancestral Claw,Philebus,Force Fist,Ancestral Staff,0,0,0,6,6,6,6,6,6,1,1,1,1,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/blank-veteran_hunter-student_gunsmith-combat_soldier-machine_police_girl-black_wolf_knight-spear_0005-bow_0018_coop-fist_0019_boss_unique-book_0010-fist_0007-spear_0023_boss_unique@---,555,555,000,0--,555.png",2021-05-01 03:23:00
1989,Soushiro,Celtie,Miguel,Razelt,Melsele,Kohane,Parashu,Holy Scepter,Beast General's Halberd,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,1,1,0,6,6,0,0,0,0,1,6,0,0,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/samurai-wind_spgirl-gentle_barten-prince_zero-elf_archer-tengu_girl-axe_0024-staff_0005-spear_0018-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@00-,55-,---,05-,---,5--.png",2021-05-01 01:09:00
1990,ARegis,SBelsidia,Beaucy,Rudy,Rhode,Sha Suzu,Aegaeon's Axe,Crimson Orcfist,Yata-no-Kagami,Ancestral Staff,Big Ogre's Axe,A Treatise on War,6,0,0,6,6,0,6,0,0,6,1,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-dimension_witch_smr20-heavenly_two-lady_android-girl_and_mecha-student_gunsmith-axe_0025_decay-fist_0004-acce_0014_boss_unique-spear_0023_boss_unique-axe_0022_storyevent-book_0004@5--,55-,5--,505,---,555.png",2021-04-30 23:14:00
1991,SBelsidia,Rams,Beaucy,Rudy,Sera,Sha Suzu,Aegaeon's Axe,Aegaeon's Axe,Yata-no-Kagami,Electric Dagger,Philebus,Philebus,6,6,0,1,1,6,0,0,0,6,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/dimension_witch_smr20-thunder_dragon-heavenly_two-lady_android-machine_police_girl-student_gunsmith-axe_0025_decay-axe_0025_decay-acce_0014_boss_unique-sword_0027-book_0010-book_0010@55-,005,---,5--,---,---.png",2021-04-30 17:22:00
1992,ARegis,Edita,SIllumine,Rudy,Beaucy,Sha Suzu,Aegaeon's Axe,Thor's Hammer,Ancestral Staff,Ancestral Staff,Yata-no-Kagami,Ancestral Staff,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-punk_warrior-illusionist_smr20-lady_android-heavenly_two-student_gunsmith-axe_0025_decay-axe_0009-spear_0023_boss_unique-spear_0023_boss_unique-acce_0014_boss_unique-spear_0023_boss_unique@500,000,555,000,000,000.png",2021-04-30 16:44:00
1993,SNaska,Vyron,Sha Suzu,Bulleta,Sera,Rolf,Maltet,Shadowflash Treatise,Ancestral Claw,Philebus,Senji Ryakketsu,Ancestral Staff,0,0,0,6,6,6,6,6,6,1,6,6,1,1,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/casino_dealer_smr20-veteran_hunter-student_gunsmith-combat_soldier-machine_police_girl-black_wolf_knight-spear_0005-book_0022_raid-fist_0019_boss_unique-book_0010-book_0009-spear_0023_boss_unique@---,555,555,055,00-,555.png",2021-04-30 14:19:00
1994,AHanabi,Junko,Sha Suzu,Owlbert,XBianca,Bianca,Parashu,Predator,Engagement Pendant,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,0,0,0,1,6,0,6,0,0,0,0,0,6,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/kunoichi_1anv-konno_junko-student_gunsmith-owl-lady_summoner_xm20-lady_summoner-axe_0024-bow_0016-acce_0017_total-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@---,05-,5--,---,55-,---.png",2021-04-30 11:53:00
1995,Rolf,Cagliostro,Nicola,Melmyna,Enni,Fire Imp,Maltet,Predator,Gauntlet of the Ancient King,Spear of the Ancient King,Spear of the Ancient King,Prometheus Blade,6,6,6,6,0,0,6,1,6,1,6,6,6,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/black_wolf_knight-cagliostro-sorceress_teacher-sanctuary_guard-fire_shaman-spirit_fire-spear_0005-bow_0016-fist_0017_boss_unique-spear_0020_boss_unique-spear_0020_boss_unique-sword_0012@555,5--,505,055,55-,---.png",2021-04-29 09:58:00
1996,DSonia,Vyron,Saki,Miguel,Bulleta,Sera,Maltet,Azusa Bow,Holly Gauntlet,Holly Gauntlet,Windwrath Blade,Trick or Claw,0,0,0,6,6,6,6,0,0,0,0,0,1,6,1,1,6,0,"https://eliya-bot.herokuapp.com/comp/brown_fighter_dst21-veteran_hunter-nikaido_saki-gentle_barten-combat_soldier-machine_police_girl-spear_0005-bow_0008-fist_0026_raid-fist_0026_raid-sword_0034_raid-fist_0024_raid@---,555,5--,---,050,05-.png",2021-04-28 14:44:00
1997,Clarisse,Rolf,Yugiri,Noenne,Enni,Sha Suzu,Maltet,Holy Scepter,Spear of the Ancient King,Prometheus Blade,Prometheus Blade,Prometheus Blade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/clarisse-black_wolf_knight-yugiri-heavenly_one-fire_shaman-student_gunsmith-spear_0005-staff_0005-spear_0020_boss_unique-sword_0012-sword_0012-sword_0012@---,---,---,---,---,---.png",2021-04-28 07:44:00
1998,Ellya,Keira,Lily Hoshikawa,Firamelia,Razelt,Sha Suzu,Parashu,Lightcrest Bow,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Lightcrest Shield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/lightbullet_wiz-palpebra_knight_lady-hoshikawa_ririi-lamp_guide-prince_zero-student_gunsmith-axe_0024-bow_0017_raid-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-shield_0016_raid@---,---,---,---,---,---.png",2021-04-28 06:40:00
1999,Orvelle,Libram,Lily Hoshikawa,Sha Suzu,Razelt,blank,Parashu,Covenant Blade,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Treat Wand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-blade_dancer-hoshikawa_ririi-student_gunsmith-prince_zero-blank-axe_0024-sword_0031_storyevent-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-staff_0024_raid@---,---,---,---,---,---.png",2021-04-27 23:48:00
2000,APhiria,Orvelle,Bulleta,Sha Suzu,Razelt,Lily Hoshikawa,Parashu,Holy Scepter,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Laser Pilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-combat_soldier-student_gunsmith-prince_zero-hoshikawa_ririi-axe_0024-staff_0005-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-spear_0027@---,---,---,---,---,---.png",2021-04-27 23:05:00
2001,SMia,Clarisse,Sonia,Firamelia,Bulleta,Tae,Durendal,Javelin,Maiden's Ribbon,Maiden's Ribbon,Mythical Shield,Force Fist,6,6,6,1,1,1,1,1,1,0,0,0,1,6,6,1,0,0,"https://eliya-bot.herokuapp.com/comp/tiger_treasure_hunter_smr20-clarisse-brown_fighter-lamp_guide-combat_soldier-yamada_tae-sword_0005-spear_0003-acce_0008_ZCollab-acce_0008_ZCollab-shield_0012-fist_0007@555,000,000,---,055,0--.png",2021-04-26 01:17:00
2002,Orvelle,Raul,HNephtim,XBianca,Razelt,Sha Suzu,Ukonvasara,Record Scratcher,Yata-no-Kagami,Laser Pilum,Treat Wand,Laser Pilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-exorcist_oldman-ruin_girl_halfanv-lady_summoner_xm20-prince_zero-student_gunsmith-axe_0008-shield_0021-acce_0014_boss_unique-spear_0027-staff_0024_raid-spear_0027@---,---,---,---,---,---.png",2021-04-25 18:44:00
2003,Orvelle,Murakumo,HNephtim,Sha Suzu,Keyana,Owlbert,Mistilteinn,Ukonvasara,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Lightcrest Bow,1,6,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-katana_ghost-ruin_girl_halfanv-student_gunsmith-keylock_girl-owl-bow_0022-axe_0008-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-bow_0017_raid@05-,---,---,005,---,---.png",2021-04-25 18:05:00
2004,Orvelle,APhiria,Sha Suzu,Lilial,Razelt,Gilasrad,Durendal,The Book of Lies,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Treat Wand,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-wind_oracle_1anv-student_gunsmith-alchemist-prince_zero-berserker-sword_0005-book_0005-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-staff_0024_raid@---,---,005,---,---,---.png",2021-04-25 10:31:00
2005,Diletta,Jay,Bulleta,Hopper,HNephtim,Tae,Durendal,Ukonvasara,Senji Ryakketsu,Ceremonial Medallion,Nurarihyon,Ceremonial Medallion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/sea_violent-cat_shaman-combat_soldier-unleash_hunter-ruin_girl_halfanv-yamada_tae-sword_0005-axe_0008-book_0009-acce_0012_storyevent-main_chapter_orb_6-acce_0012_storyevent@---,---,---,---,---,---.png",2021-04-24 22:09:00
2006,Diletta,Hopper,Bulleta,Katyusha,Lyra,Mech,Positron Shooter,A Treatise on War,Nostalgia,Nostalgia,Trick or Claw,Nostalgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/sea_violent-unleash_hunter-combat_soldier-junior_soldier-neoviolin_musician-doctor_machine-gun_rare5_positron_shooter-book_0004-shield_0020_boss_unique-shield_0020_boss_unique-fist_0024_raid-shield_0020_boss_unique@---,---,---,---,---,---.png",2021-04-24 21:18:00
2007,Orvelle,APhiria,Sha Suzu,Jester,Razelt,XBianca,Parashu,A Treatise on War,Yata-no-Kagami,Yata-no-Kagami,Bonds Forged in Flame,A Treatise on War,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-wind_oracle_1anv-student_gunsmith-trap_errand-prince_zero-lady_summoner_xm20-axe_0024-book_0004-acce_0014_boss_unique-acce_0014_boss_unique-main_chapter_orb_7-book_0004@---,---,005,---,---,---.png",2021-04-24 19:42:00
2008,Rem,APhiria,Rakisha,Sha Suzu,Razelt,XBianca,Parashu,Morning Star,Yata-no-Kagami,Yata-no-Kagami,A Treatise on War,A Treatise on War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rem-wind_oracle_1anv-drawing_witch-student_gunsmith-prince_zero-lady_summoner_xm20-axe_0024-axe_0023_RCollab-acce_0014_boss_unique-acce_0014_boss_unique-book_0004-book_0004@---,---,---,---,---,---.png",2021-04-24 19:09:00
2009,Orvelle,APhiria,Razelt,HRenoir,HNephtim,Sha Suzu,Parashu,Lightcrest Bow,Treat Wand,Treat Wand,Yata-no-Kagami,Yata-no-Kagami,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"https://eliya-bot.herokuapp.com/comp/high_priestess-wind_oracle_1anv-prince_zero-fox_scientist_hw20-ruin_girl_halfanv-student_gunsmith-axe_0024-bow_0017_raid-staff_0024_raid-staff_0024_raid-acce_0014_boss_unique-acce_0014_boss_unique@05-,---,---,---,---,005.png",2021-04-24 19:08:00
2010,APhiria,Orvelle,Sha Suzu,Jester,Razelt,XBianca,Parashu,Treat Wand,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Nostalgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-student_gunsmith-trap_errand-prince_zero-lady_summoner_xm20-axe_0024-staff_0024_raid-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-shield_0020_boss_unique@---,---,---,---,---,---.png",2021-04-24 18:26:00
2011,APhiria,Orvelle,Lily Hoshikawa,Enni,Sha Suzu,Firamelia,Holy Scepter,Covenant Blade,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-hoshikawa_ririi-fire_shaman-student_gunsmith-lamp_guide-staff_0005-sword_0031_storyevent-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-acce_0014_boss_unique@---,---,---,---,005,---.png",2021-04-24 18:01:00
2012,APhiria,Orvelle,Sha Suzu,HRenoir,Razelt,Junko,Parashu,A Treatise on War,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,The Book of Lies,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-student_gunsmith-fox_scientist_hw20-prince_zero-konno_junko-axe_0024-book_0004-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-book_0005@---,---,005,---,---,---.png",2021-04-24 17:17:00
2013,Diletta,Hopper,Bulleta,Katyusha,Lyra,Firamelia,Positron Shooter,Nostalgia,Nostalgia,Nostalgia,Trick or Claw,Nostalgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/sea_violent-unleash_hunter-combat_soldier-junior_soldier-neoviolin_musician-lamp_guide-gun_rare5_positron_shooter-shield_0020_boss_unique-shield_0020_boss_unique-shield_0020_boss_unique-fist_0024_raid-shield_0020_boss_unique@---,---,---,---,---,---.png",2021-04-24 16:56:00
2014,APhiria,Orvelle,Sha Suzu,Lily Hoshikawa,Razelt,XBianca,Parashu,A Treatise on War,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,A Treatise on War,0,0,0,0,0,0,1,1,6,0,0,0,1,1,4,1,1,6,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-student_gunsmith-hoshikawa_ririi-prince_zero-lady_summoner_xm20-axe_0024-book_0004-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-book_0004@---,---,005,---,003,005.png",2021-04-24 16:05:00
2015,Orvelle,APhiria,Keyana,Sha Suzu,Razelt,Firamelia,Parashu,Treat Wand,Yata-no-Kagami,Laser Pilum,Treat Wand,Lightcrest Shield,0,0,0,0,0,0,0,0,0,6,6,6,1,1,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-wind_oracle_1anv-keylock_girl-student_gunsmith-prince_zero-lamp_guide-axe_0024-staff_0024_raid-acce_0014_boss_unique-spear_0027-staff_0024_raid-shield_0016_raid@---,---,---,555,005,---.png",2021-04-24 14:49:00
2016,APhiria,Orvelle,Razelt,Junko,Lily Hoshikawa,Sha Suzu,Blade of Celestial Wealth,Blade of Celestial Wealth,Treat Wand,Treat Wand,Yata-no-Kagami,Treat Wand,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_1anv-high_priestess-prince_zero-konno_junko-hoshikawa_ririi-student_gunsmith-sword_0032_score-sword_0032_score-staff_0024_raid-staff_0024_raid-acce_0014_boss_unique-staff_0024_raid@---,---,---,05-,---,---.png",2021-04-24 13:50:00
2017,XArum,Junko,Adjudicus,Karyl,Luna,Falsche,Darkbane Gun,24/7,Parashu,The Scepter of Sloth,The Scepter of Sloth,24/7,6,0,0,6,6,0,6,0,0,6,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/devil_princess_xm20-konno_junko-devil_leader-kyaru-luna-reaper_girl-gun_0006_raid-staff_rare5_24_7-axe_0024-staff_0019_boss_unique-staff_0019_boss_unique-staff_rare5_24_7@5--,55-,5--,5--,---,---.png",2021-04-24 12:06:00
